Nome,Número,Peso,Altura,Tipos,Habilidades,Habilidades Descrição,Habilidades URL,Url Pokémon,Evoluções,Evoluções Número,Evoluções URL
Weedle,13,3.2 kg,30.0 cm,"Bug,Poison","Shield Dust,Run Away"," Blocks the added effects of attacks taken., Enables a sure getaway from wild Pokémon."," https://pokemondb.net/ability/shield-dust, https://pokemondb.net/ability/run-away",https://pokemondb.net/pokedex/weedle,"Kakuna,Beedrill"," #0014, #0015"," https://pokemondb.net/pokedex/kakuna, https://pokemondb.net/pokedex/beedrill"
Butterfree,12,32.0 kg,110.00000000000001 cm,"Bug,Flying","Compound Eyes,Tinted Lens"," The Pokémon's accuracy is boosted., Powers up “not very effective” moves."," https://pokemondb.net/ability/compound-eyes, https://pokemondb.net/ability/tinted-lens",https://pokemondb.net/pokedex/butterfree,,,
Kakuna,14,10.0 kg,60.0 cm,"Bug,Poison",Shed Skin, The Pokémon may heal its own status problems., https://pokemondb.net/ability/shed-skin,https://pokemondb.net/pokedex/kakuna,Beedrill, #0015," https://pokemondb.net/pokedex/kakuna, https://pokemondb.net/pokedex/beedrill"
Metapod,11,9.9 kg,70.0 cm,Bug,Shed Skin, The Pokémon may heal its own status problems., https://pokemondb.net/ability/shed-skin,https://pokemondb.net/pokedex/metapod,Butterfree, #0012," https://pokemondb.net/pokedex/metapod, https://pokemondb.net/pokedex/butterfree"
Ekans,23,6.9 kg,200.0 cm,Poison,"Intimidate,Shed Skin,Unnerve"," Lowers the foe's Attack stat., The Pokémon may heal its own status problems., Makes the foe nervous and unable to eat Berries."," https://pokemondb.net/ability/intimidate, https://pokemondb.net/ability/shed-skin, https://pokemondb.net/ability/unnerve",https://pokemondb.net/pokedex/ekans,Arbok, #0024, https://pokemondb.net/pokedex/arbok
Cloyster,91,132.5 kg,150.0 cm,"Water,Ice","Shell Armor,Skill Link,Overcoat"," The Pokémon is protected against critical hits., Increases the frequency of multi-strike moves., Protects the Pokémon from weather damage."," https://pokemondb.net/ability/shell-armor, https://pokemondb.net/ability/skill-link, https://pokemondb.net/ability/overcoat",https://pokemondb.net/pokedex/cloyster,,,
Surskit,283,1.7 kg,50.0 cm,"Bug,Water","Swift Swim,Rain Dish"," Boosts the Pokémon's Speed in rain., The Pokémon gradually regains HP in rain."," https://pokemondb.net/ability/swift-swim, https://pokemondb.net/ability/rain-dish",https://pokemondb.net/pokedex/surskit,Masquerain, #0284, https://pokemondb.net/pokedex/masquerain
Croconaw,159,25.0 kg,110.00000000000001 cm,Water,"Torrent,Sheer Force"," Powers up Water-type moves in a pinch., Removes added effects to increase move damage."," https://pokemondb.net/ability/torrent, https://pokemondb.net/ability/sheer-force",https://pokemondb.net/pokedex/croconaw,Feraligatr, #0160," https://pokemondb.net/pokedex/croconaw, https://pokemondb.net/pokedex/feraligatr"
Mightyena,262,37.0 kg,100.0 cm,Dark,"Intimidate,Quick Feet,Moxie"," Lowers the foe's Attack stat., Boosts Speed if there is a status problem., Boosts Attack after knocking out any Pokémon."," https://pokemondb.net/ability/intimidate, https://pokemondb.net/ability/quick-feet, https://pokemondb.net/ability/moxie",https://pokemondb.net/pokedex/mightyena,,,
Raticate,20,18.5 kg,70.0 cm,Normal,"Run Away,Guts,Hustle,Gluttony,Hustle,Thick Fat"," Enables a sure getaway from wild Pokémon., Boosts Attack if there is a status problem., Boosts the Attack stat, but lowers accuracy., Encourages the early use of a held Berry., Boosts the Attack stat, but lowers accuracy., Ups resistance to Fire- and Ice-type moves."," https://pokemondb.net/ability/run-away, https://pokemondb.net/ability/guts, https://pokemondb.net/ability/hustle, https://pokemondb.net/ability/gluttony, https://pokemondb.net/ability/hustle, https://pokemondb.net/ability/thick-fat",https://pokemondb.net/pokedex/raticate,,,
Breloom,286,39.2 kg,120.0 cm,"Grass,Fighting","Effect Spore,Poison Heal,Technician"," Contact may poison or cause paralysis or sleep., Restores HP if the Pokémon is poisoned., Powers up the Pokémon's weaker moves."," https://pokemondb.net/ability/effect-spore, https://pokemondb.net/ability/poison-heal, https://pokemondb.net/ability/technician",https://pokemondb.net/pokedex/breloom,,,
Shroomish,285,4.5 kg,40.0 cm,Grass,"Effect Spore,Poison Heal,Quick Feet"," Contact may poison or cause paralysis or sleep., Restores HP if the Pokémon is poisoned., Boosts Speed if there is a status problem."," https://pokemondb.net/ability/effect-spore, https://pokemondb.net/ability/poison-heal, https://pokemondb.net/ability/quick-feet",https://pokemondb.net/pokedex/shroomish,Breloom, #0286, https://pokemondb.net/pokedex/breloom
Masquerain,284,3.6 kg,80.0 cm,"Bug,Flying","Intimidate,Unnerve"," Lowers the foe's Attack stat., Makes the foe nervous and unable to eat Berries."," https://pokemondb.net/ability/intimidate, https://pokemondb.net/ability/unnerve",https://pokemondb.net/pokedex/masquerain,,,
Barboach,339,1.9 kg,40.0 cm,"Water,Ground","Oblivious,Anticipation,Hydration"," Prevents it from becoming infatuated., Senses a foe's dangerous moves., Heals status problems if it is raining."," https://pokemondb.net/ability/oblivious, https://pokemondb.net/ability/anticipation, https://pokemondb.net/ability/hydration",https://pokemondb.net/pokedex/barboach,Whiscash, #0340, https://pokemondb.net/pokedex/whiscash
Lunatone,337,168.0 kg,100.0 cm,"Rock,Psychic",Levitate, Gives immunity to Ground type moves., https://pokemondb.net/ability/levitate,https://pokemondb.net/pokedex/lunatone,,,
Gardevoir,282,48.4 kg,160.0 cm,"Psychic,Fairy","Synchronize,Trace,Telepathy,Pixilate"," Passes a burn, poison, or paralysis to the foe., The Pokémon copies a foe's Ability., Anticipates an ally's attack and dodges it., Turns Normal-type moves into Fairy-type moves."," https://pokemondb.net/ability/synchronize, https://pokemondb.net/ability/trace, https://pokemondb.net/ability/telepathy, https://pokemondb.net/ability/pixilate",https://pokemondb.net/pokedex/gardevoir,Kirlia, #0281, https://pokemondb.net/pokedex/kirlia
Solrock,338,154.0 kg,120.0 cm,"Rock,Psychic",Levitate, Gives immunity to Ground type moves., https://pokemondb.net/ability/levitate,https://pokemondb.net/pokedex/solrock,,,
Spheal,363,39.5 kg,80.0 cm,"Ice,Water","Thick Fat,Ice Body,Oblivious"," Ups resistance to Fire- and Ice-type moves., The Pokémon gradually regains HP in a hailstorm., Prevents it from becoming infatuated."," https://pokemondb.net/ability/thick-fat, https://pokemondb.net/ability/ice-body, https://pokemondb.net/ability/oblivious",https://pokemondb.net/pokedex/spheal,"Sealeo,Walrein"," #0364, #0365"," https://pokemondb.net/pokedex/sealeo, https://pokemondb.net/pokedex/walrein"
Bastiodon,411,149.5 kg,130.0 cm,"Rock,Steel","Sturdy,Soundproof"," It cannot be knocked out with one hit., Gives immunity to sound-based moves."," https://pokemondb.net/ability/sturdy, https://pokemondb.net/ability/soundproof",https://pokemondb.net/pokedex/bastiodon,,,
Seviper,336,52.5 kg,270.0 cm,Poison,"Shed Skin,Infiltrator"," The Pokémon may heal its own status problems., Passes through the foe's barrier and strikes."," https://pokemondb.net/ability/shed-skin, https://pokemondb.net/ability/infiltrator",https://pokemondb.net/pokedex/seviper,,,
Zangoose,335,40.3 kg,130.0 cm,Normal,"Immunity,Toxic Boost"," Prevents the Pokémon from getting poisoned., Powers up physical attacks when poisoned."," https://pokemondb.net/ability/immunity, https://pokemondb.net/ability/toxic-boost",https://pokemondb.net/pokedex/zangoose,,,
Stunky,434,19.2 kg,40.0 cm,"Poison,Dark","Stench,Aftermath,Keen Eye"," The stench may cause the target to flinch., Damages the attacker landing the finishing hit., Prevents other Pokémon from lowering accuracy."," https://pokemondb.net/ability/stench, https://pokemondb.net/ability/aftermath, https://pokemondb.net/ability/keen-eye",https://pokemondb.net/pokedex/stunky,Skuntank, #0435, https://pokemondb.net/pokedex/skuntank
Manectric,310,40.2 kg,150.0 cm,Electric,"Static,Lightning Rod,Minus,Intimidate"," Contact with the Pokémon may cause paralysis., Draws in all Electric-type moves to up Sp. Attack., Ups Sp. Atk if another Pokémon has Plus or Minus., Lowers the foe's Attack stat."," https://pokemondb.net/ability/static, https://pokemondb.net/ability/lightning-rod, https://pokemondb.net/ability/minus, https://pokemondb.net/ability/intimidate",https://pokemondb.net/pokedex/manectric,,,
Chingling,433,0.6 kg,20.0 cm,Psychic,Levitate, Gives immunity to Ground type moves., https://pokemondb.net/ability/levitate,https://pokemondb.net/pokedex/chingling,Chimecho, #0358, https://pokemondb.net/pokedex/chimecho
Skuntank,435,38.0 kg,100.0 cm,"Poison,Dark","Stench,Aftermath,Keen Eye"," The stench may cause the target to flinch., Damages the attacker landing the finishing hit., Prevents other Pokémon from lowering accuracy."," https://pokemondb.net/ability/stench, https://pokemondb.net/ability/aftermath, https://pokemondb.net/ability/keen-eye",https://pokemondb.net/pokedex/skuntank,,,
Bronzor,436,60.5 kg,50.0 cm,"Steel,Psychic","Levitate,Heatproof,Heavy Metal"," Gives immunity to Ground type moves., Weakens the power of Fire-type moves., Doubles the Pokémon's weight."," https://pokemondb.net/ability/levitate, https://pokemondb.net/ability/heatproof, https://pokemondb.net/ability/heavy-metal",https://pokemondb.net/pokedex/bronzor,Bronzong, #0437, https://pokemondb.net/pokedex/bronzong
Purugly,432,43.8 kg,100.0 cm,Normal,"Thick Fat,Own Tempo,Defiant"," Ups resistance to Fire- and Ice-type moves., Prevents the Pokémon from becoming confused., Sharply raises Attack when the Pokémon's stats are lowered."," https://pokemondb.net/ability/thick-fat, https://pokemondb.net/ability/own-tempo, https://pokemondb.net/ability/defiant",https://pokemondb.net/pokedex/purugly,,,
Glameow,431,3.9 kg,50.0 cm,Normal,"Limber,Own Tempo,Keen Eye"," The Pokémon is protected from paralysis., Prevents the Pokémon from becoming confused., Prevents other Pokémon from lowering accuracy."," https://pokemondb.net/ability/limber, https://pokemondb.net/ability/own-tempo, https://pokemondb.net/ability/keen-eye",https://pokemondb.net/pokedex/glameow,Purugly, #0432, https://pokemondb.net/pokedex/purugly
Bronzong,437,187.0 kg,130.0 cm,"Steel,Psychic","Levitate,Heatproof,Heavy Metal"," Gives immunity to Ground type moves., Weakens the power of Fire-type moves., Doubles the Pokémon's weight."," https://pokemondb.net/ability/levitate, https://pokemondb.net/ability/heatproof, https://pokemondb.net/ability/heavy-metal",https://pokemondb.net/pokedex/bronzong,,,
Palkia,484,336.0 kg,420.0 cm,"Water,Dragon","Pressure,Telepathy,Pressure,Telepathy"," The Pokémon raises the foe's PP usage., Anticipates an ally's attack and dodges it., The Pokémon raises the foe's PP usage., Anticipates an ally's attack and dodges it."," https://pokemondb.net/ability/pressure, https://pokemondb.net/ability/telepathy, https://pokemondb.net/ability/pressure, https://pokemondb.net/ability/telepathy",https://pokemondb.net/pokedex/palkia,,,
Mesprit,481,0.3 kg,30.0 cm,Psychic,Levitate, Gives immunity to Ground type moves., https://pokemondb.net/ability/levitate,https://pokemondb.net/pokedex/mesprit,,,
Dialga,483,683.0 kg,540.0 cm,"Steel,Dragon","Pressure,Telepathy,Pressure,Telepathy"," The Pokémon raises the foe's PP usage., Anticipates an ally's attack and dodges it., The Pokémon raises the foe's PP usage., Anticipates an ally's attack and dodges it."," https://pokemondb.net/ability/pressure, https://pokemondb.net/ability/telepathy, https://pokemondb.net/ability/pressure, https://pokemondb.net/ability/telepathy",https://pokemondb.net/pokedex/dialga,,,
Azelf,482,0.3 kg,30.0 cm,Psychic,Levitate, Gives immunity to Ground type moves., https://pokemondb.net/ability/levitate,https://pokemondb.net/pokedex/azelf,,,
Lillipup,506,4.1 kg,40.0 cm,Normal,"Vital Spirit,Pickup,Run Away"," Prevents the Pokémon from falling asleep., The Pokémon may pick up items., Enables a sure getaway from wild Pokémon."," https://pokemondb.net/ability/vital-spirit, https://pokemondb.net/ability/pickup, https://pokemondb.net/ability/run-away",https://pokemondb.net/pokedex/lillipup,"Herdier,Stoutland"," #0507, #0508"," https://pokemondb.net/pokedex/herdier, https://pokemondb.net/pokedex/stoutland"
Lickilicky,463,140.0 kg,170.0 cm,Normal,"Own Tempo,Oblivious,Cloud Nine"," Prevents the Pokémon from becoming confused., Prevents it from becoming infatuated., Eliminates the effects of weather."," https://pokemondb.net/ability/own-tempo, https://pokemondb.net/ability/oblivious, https://pokemondb.net/ability/cloud-nine",https://pokemondb.net/pokedex/lickilicky,,,
Herdier,507,14.7 kg,90.0 cm,Normal,"Intimidate,Sand Rush,Scrappy"," Lowers the foe's Attack stat., Boosts the Pokémon's Speed in a sandstorm., Enables moves to hit Ghost-type Pokémon."," https://pokemondb.net/ability/intimidate, https://pokemondb.net/ability/sand-rush, https://pokemondb.net/ability/scrappy",https://pokemondb.net/pokedex/herdier,Stoutland, #0508," https://pokemondb.net/pokedex/herdier, https://pokemondb.net/pokedex/stoutland"
Watchog,505,27.0 kg,110.00000000000001 cm,Normal,"Illuminate,Keen Eye,Analytic"," Raises the likelihood of meeting wild Pokémon., Prevents other Pokémon from lowering accuracy., Boosts move power when the Pokémon moves last."," https://pokemondb.net/ability/illuminate, https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/analytic",https://pokemondb.net/pokedex/watchog,,,
Cottonee,546,0.6 kg,30.0 cm,"Grass,Fairy","Prankster,Infiltrator,Chlorophyll"," Gives priority to a status move., Passes through the foe's barrier and strikes., Boosts the Pokémon's Speed in sunshine."," https://pokemondb.net/ability/prankster, https://pokemondb.net/ability/infiltrator, https://pokemondb.net/ability/chlorophyll",https://pokemondb.net/pokedex/cottonee,Whimsicott, #0547, https://pokemondb.net/pokedex/whimsicott
Lilligant,549,16.3 kg,110.00000000000001 cm,Grass,"Chlorophyll,Own Tempo,Leaf Guard,Chlorophyll,Hustle,Leaf Guard"," Boosts the Pokémon's Speed in sunshine., Prevents the Pokémon from becoming confused., Prevents problems with status in sunny weather., Boosts the Pokémon's Speed in sunshine., Boosts the Attack stat, but lowers accuracy., Prevents problems with status in sunny weather."," https://pokemondb.net/ability/chlorophyll, https://pokemondb.net/ability/own-tempo, https://pokemondb.net/ability/leaf-guard, https://pokemondb.net/ability/chlorophyll, https://pokemondb.net/ability/hustle, https://pokemondb.net/ability/leaf-guard",https://pokemondb.net/pokedex/lilligant,,,
Sandile,551,15.2 kg,70.0 cm,"Ground,Dark","Intimidate,Moxie,Anger Point"," Lowers the foe's Attack stat., Boosts Attack after knocking out any Pokémon., Maxes Attack after taking a critical hit."," https://pokemondb.net/ability/intimidate, https://pokemondb.net/ability/moxie, https://pokemondb.net/ability/anger-point",https://pokemondb.net/pokedex/sandile,"Krokorok,Krookodile"," #0552, #0553"," https://pokemondb.net/pokedex/krokorok, https://pokemondb.net/pokedex/krookodile"
Whirlipede,544,58.5 kg,120.0 cm,"Bug,Poison","Poison Point,Swarm,Speed Boost"," Contact with the Pokémon may poison the attacker., Powers up Bug-type moves in a pinch., Its Speed stat is gradually boosted."," https://pokemondb.net/ability/poison-point, https://pokemondb.net/ability/swarm, https://pokemondb.net/ability/speed-boost",https://pokemondb.net/pokedex/whirlipede,Scolipede, #0545," https://pokemondb.net/pokedex/whirlipede, https://pokemondb.net/pokedex/scolipede"
Basculin,550,18.0 kg,100.0 cm,Water,"Reckless,Adaptability,Mold Breaker,Rock Head,Adaptability,Mold Breaker,Rattled,Adaptability,Mold Breaker"," Powers up moves that have recoil damage., Powers up moves of the same type., Moves can be used regardless of Abilities., Protects the Pokémon from recoil damage., Powers up moves of the same type., Moves can be used regardless of Abilities., Bug, Ghost or Dark type moves scare it and boost its Speed., Powers up moves of the same type., Moves can be used regardless of Abilities."," https://pokemondb.net/ability/reckless, https://pokemondb.net/ability/adaptability, https://pokemondb.net/ability/mold-breaker, https://pokemondb.net/ability/rock-head, https://pokemondb.net/ability/adaptability, https://pokemondb.net/ability/mold-breaker, https://pokemondb.net/ability/rattled, https://pokemondb.net/ability/adaptability, https://pokemondb.net/ability/mold-breaker",https://pokemondb.net/pokedex/basculin,,,
Petilil,548,6.6 kg,50.0 cm,Grass,"Chlorophyll,Own Tempo,Leaf Guard"," Boosts the Pokémon's Speed in sunshine., Prevents the Pokémon from becoming confused., Prevents problems with status in sunny weather."," https://pokemondb.net/ability/chlorophyll, https://pokemondb.net/ability/own-tempo, https://pokemondb.net/ability/leaf-guard",https://pokemondb.net/pokedex/petilil,,,
Bouffalant,626,94.6 kg,160.0 cm,Normal,"Reckless,Sap Sipper,Soundproof"," Powers up moves that have recoil damage., Boosts Attack when hit by a Grass-type move., Gives immunity to sound-based moves."," https://pokemondb.net/ability/reckless, https://pokemondb.net/ability/sap-sipper, https://pokemondb.net/ability/soundproof",https://pokemondb.net/pokedex/bouffalant,,,
Whimsicott,547,6.6 kg,70.0 cm,"Grass,Fairy","Prankster,Infiltrator,Chlorophyll"," Gives priority to a status move., Passes through the foe's barrier and strikes., Boosts the Pokémon's Speed in sunshine."," https://pokemondb.net/ability/prankster, https://pokemondb.net/ability/infiltrator, https://pokemondb.net/ability/chlorophyll",https://pokemondb.net/pokedex/whimsicott,,,
Scolipede,545,200.5 kg,250.0 cm,"Bug,Poison","Poison Point,Swarm,Speed Boost"," Contact with the Pokémon may poison the attacker., Powers up Bug-type moves in a pinch., Its Speed stat is gradually boosted."," https://pokemondb.net/ability/poison-point, https://pokemondb.net/ability/swarm, https://pokemondb.net/ability/speed-boost",https://pokemondb.net/pokedex/scolipede,,,
Bisharp,625,70.0 kg,160.0 cm,"Dark,Steel","Defiant,Inner Focus,Pressure"," Sharply raises Attack when the Pokémon's stats are lowered., The Pokémon is protected from flinching., The Pokémon raises the foe's PP usage."," https://pokemondb.net/ability/defiant, https://pokemondb.net/ability/inner-focus, https://pokemondb.net/ability/pressure",https://pokemondb.net/pokedex/bisharp,Kingambit, #0983," https://pokemondb.net/pokedex/bisharp, https://pokemondb.net/pokedex/kingambit"
Pawniard,624,10.2 kg,50.0 cm,"Dark,Steel","Defiant,Inner Focus,Pressure"," Sharply raises Attack when the Pokémon's stats are lowered., The Pokémon is protected from flinching., The Pokémon raises the foe's PP usage."," https://pokemondb.net/ability/defiant, https://pokemondb.net/ability/inner-focus, https://pokemondb.net/ability/pressure",https://pokemondb.net/pokedex/pawniard,"Bisharp,Kingambit"," #0625, #0983"," https://pokemondb.net/pokedex/bisharp, https://pokemondb.net/pokedex/kingambit"
Golurk,623,330.0 kg,280.0 cm,"Ground,Ghost","Iron Fist,Klutz,No Guard"," Boosts the power of punching moves., The Pokémon can't use any held items., Ensures attacks by or against the Pokémon land."," https://pokemondb.net/ability/iron-fist, https://pokemondb.net/ability/klutz, https://pokemondb.net/ability/no-guard",https://pokemondb.net/pokedex/golurk,,,
Golett,622,92.0 kg,100.0 cm,"Ground,Ghost","Iron Fist,Klutz,No Guard"," Boosts the power of punching moves., The Pokémon can't use any held items., Ensures attacks by or against the Pokémon land."," https://pokemondb.net/ability/iron-fist, https://pokemondb.net/ability/klutz, https://pokemondb.net/ability/no-guard",https://pokemondb.net/pokedex/golett,Golurk, #0623, https://pokemondb.net/pokedex/golurk
Druddigon,621,139.0 kg,160.0 cm,Dragon,"Rough Skin,Sheer Force,Mold Breaker"," Inflicts damage to the attacker on contact., Removes added effects to increase move damage., Moves can be used regardless of Abilities."," https://pokemondb.net/ability/rough-skin, https://pokemondb.net/ability/sheer-force, https://pokemondb.net/ability/mold-breaker",https://pokemondb.net/pokedex/druddigon,,,
Rufflet,627,10.5 kg,50.0 cm,"Normal,Flying","Keen Eye,Sheer Force,Hustle"," Prevents other Pokémon from lowering accuracy., Removes added effects to increase move damage., Boosts the Attack stat, but lowers accuracy."," https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/sheer-force, https://pokemondb.net/ability/hustle",https://pokemondb.net/pokedex/rufflet,,,
Kyurem,646,325.0 kg,300.0 cm,"Dragon,Ice","Pressure,Turboblaze,Teravolt"," The Pokémon raises the foe's PP usage., Moves can be used regardless of Abilities., Moves can be used regardless of Abilities."," https://pokemondb.net/ability/pressure, https://pokemondb.net/ability/turboblaze, https://pokemondb.net/ability/teravolt",https://pokemondb.net/pokedex/kyurem,,,
Flabébé,669,0.1 kg,10.0 cm,Fairy,"Flower Veil,Symbiosis"," Prevents lowering of ally Grass-type Pokémon's stats., The Pokémon can pass an item to an ally."," https://pokemondb.net/ability/flower-veil, https://pokemondb.net/ability/symbiosis",https://pokemondb.net/pokedex/flabebe,"Floette,Florges"," #0670, #0671"," https://pokemondb.net/pokedex/floette, https://pokemondb.net/pokedex/florges"
Pyroar,668,81.5 kg,150.0 cm,"Fire,Normal","Rivalry,Unnerve,Moxie"," Deals more damage to a Pokémon of same gender., Makes the foe nervous and unable to eat Berries., Boosts Attack after knocking out any Pokémon."," https://pokemondb.net/ability/rivalry, https://pokemondb.net/ability/unnerve, https://pokemondb.net/ability/moxie",https://pokemondb.net/pokedex/pyroar,,,
Aegislash,681,53.0 kg,170.0 cm,"Steel,Ghost","Stance Change,Stance Change"," Changes form depending on moves used., Changes form depending on moves used."," https://pokemondb.net/ability/stance-change, https://pokemondb.net/ability/stance-change",https://pokemondb.net/pokedex/aegislash,,,
Doublade,680,4.5 kg,80.0 cm,"Steel,Ghost",No Guard, Ensures attacks by or against the Pokémon land., https://pokemondb.net/ability/no-guard,https://pokemondb.net/pokedex/doublade,Aegislash, #0681," https://pokemondb.net/pokedex/doublade, https://pokemondb.net/pokedex/aegislash"
Honedge,679,2.0 kg,80.0 cm,"Steel,Ghost",No Guard, Ensures attacks by or against the Pokémon land., https://pokemondb.net/ability/no-guard,https://pokemondb.net/pokedex/honedge,"Doublade,Aegislash"," #0680, #0681"," https://pokemondb.net/pokedex/doublade, https://pokemondb.net/pokedex/aegislash"
Meowstic,678,8.5 kg,60.0 cm,Psychic,"Keen Eye,Infiltrator,Prankster,Keen Eye,Infiltrator,Competitive"," Prevents other Pokémon from lowering accuracy., Passes through the foe's barrier and strikes., Gives priority to a status move., Prevents other Pokémon from lowering accuracy., Passes through the foe's barrier and strikes., Sharply raises Special Attack when the Pokémon's stats are lowered."," https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/infiltrator, https://pokemondb.net/ability/prankster, https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/infiltrator, https://pokemondb.net/ability/competitive",https://pokemondb.net/pokedex/meowstic,,,
Espurr,677,3.5 kg,30.0 cm,Psychic,"Keen Eye,Infiltrator,Own Tempo"," Prevents other Pokémon from lowering accuracy., Passes through the foe's barrier and strikes., Prevents the Pokémon from becoming confused."," https://pokemondb.net/ability/keen-eye, https://pokemondb.net/ability/infiltrator, https://pokemondb.net/ability/own-tempo",https://pokemondb.net/pokedex/espurr,,,
Furfrou,676,28.0 kg,120.0 cm,Normal,Fur Coat, Reduces damage from physical moves., https://pokemondb.net/ability/fur-coat,https://pokemondb.net/pokedex/furfrou,,,
Crabrawler,739,7.0 kg,60.0 cm,Fighting,"Hyper Cutter,Iron Fist,Anger Point"," Prevents other Pokémon from lowering Attack stat., Boosts the power of punching moves., Maxes Attack after taking a critical hit."," https://pokemondb.net/ability/hyper-cutter, https://pokemondb.net/ability/iron-fist, https://pokemondb.net/ability/anger-point",https://pokemondb.net/pokedex/crabrawler,Crabominable, #0740, https://pokemondb.net/pokedex/crabominable
Lurantis,754,18.5 kg,90.0 cm,Grass,"Leaf Guard,Contrary"," Prevents problems with status in sunny weather., Makes stat changes have an opposite effect."," https://pokemondb.net/ability/leaf-guard, https://pokemondb.net/ability/contrary",https://pokemondb.net/pokedex/lurantis,,,
